implementation,r,variant,sample,N,items,reps,calls,total_ns,per_call_us,sink,status,evidence
wrapper,2,torus_to_dft_rows,9,2048,128,8,1024,8984467,8.773893555,2942057726651775669,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_torus_to_dft_rows_9.log
wrapper,2,combined_current,0,2048,128,8,1024,16879803,16.484182617,9305093283185742531,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_combined_current_0.log
wrapper,2,combined_current,1,2048,128,8,1024,17212572,16.809152344,9305093283185742531,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_combined_current_1.log
wrapper,2,combined_current,2,2048,128,8,1024,15809620,15.439082031,9305093283185742531,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_combined_current_2.log
wrapper,2,combined_current,3,2048,128,8,1024,14406738,14.069080078,9305093283185742531,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_combined_current_3.log
wrapper,2,combined_current,4,2048,128,8,1024,16305010,15.922861328,9305093283185742531,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_combined_current_4.log
wrapper,2,combined_current,5,2048,128,8,1024,14730861,14.385606445,9305093283185742531,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_combined_current_5.log
wrapper,2,combined_current,6,2048,128,8,1024,14431765,14.093520508,9305093283185742531,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_combined_current_6.log
wrapper,2,combined_current,7,2048,128,8,1024,15092457,14.738727539,9305093283185742531,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_combined_current_7.log
wrapper,2,combined_current,8,2048,128,8,1024,15275233,14.917219727,9305093283185742531,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_combined_current_8.log
wrapper,2,combined_current,9,2048,128,8,1024,16158891,15.780166992,9305093283185742531,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r2_combined_current_9.log
wrapper,4,torus_to_dft_rows,0,2048,128,8,1024,13961311,13.634092773,4562030954040261711,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_torus_to_dft_rows_0.log
wrapper,4,torus_to_dft_rows,1,2048,128,8,1024,14223740,13.890371094,4562030954040261711,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_torus_to_dft_rows_1.log
